sample_codes	samples	Subtype_miRNA	Subtype_mRNA	Subtype_DNAmeth	Subtype_Selected
TCGA.BD.A2L6.11	TCGA-BD-A2L6	1	4	2	LIHC.iCluster:3
TCGA.BD.A2L6.01	TCGA-BD-A2L6	1	4	2	LIHC.iCluster:3
TCGA.BD.A3EP.11	TCGA-BD-A3EP	5	3	2	LIHC.iCluster:2
TCGA.BD.A3EP.01	TCGA-BD-A3EP	5	3	2	LIHC.iCluster:2
TCGA.BD.A3ER.01	TCGA-BD-A3ER	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.BW.A5NO.01	TCGA-BW-A5NO	3	4	2	LIHC.iCluster:3
TCGA.BW.A5NP.01	TCGA-BW-A5NP	4	1	3	LIHC.iCluster:1
TCGA.BW.A5NQ.01	TCGA-BW-A5NQ	4	5	2	LIHC.iCluster:3
TCGA.CC.5258.01	TCGA-CC-5258	4	1	1	LIHC.iCluster:1
TCGA.CC.5259.01	TCGA-CC-5259	3	2	4	LIHC.NA
TCGA.CC.5260.01	TCGA-CC-5260	5	1	3	LIHC.iCluster:1
TCGA.CC.5261.01	TCGA-CC-5261	5	1	3	LIHC.iCluster:1
TCGA.CC.5262.01	TCGA-CC-5262	5	3	2	LIHC.iCluster:2
TCGA.CC.5263.01	TCGA-CC-5263	4	1	2	LIHC.iCluster:3
TCGA.CC.5264.01	TCGA-CC-5264	4	1	2	LIHC.iCluster:3
TCGA.CC.A123.01	TCGA-CC-A123	3	mRNA.NA	1	LIHC.NA
TCGA.CC.A1HT.01	TCGA-CC-A1HT	5	1	2	LIHC.iCluster:1
TCGA.CC.A3M9.01	TCGA-CC-A3M9	5	1	1	LIHC.iCluster:1
TCGA.CC.A3MA.01	TCGA-CC-A3MA	4	1	3	LIHC.iCluster:1
TCGA.CC.A3MB.01	TCGA-CC-A3MB	2	1	4	LIHC.iCluster:2
TCGA.CC.A3MC.01	TCGA-CC-A3MC	3	3	1	LIHC.iCluster:1
TCGA.CC.A5UC.01	TCGA-CC-A5UC	4	1	1	LIHC.iCluster:1
TCGA.CC.A5UD.01	TCGA-CC-A5UD	3	5	1	LIHC.iCluster:2
TCGA.CC.A5UE.01	TCGA-CC-A5UE	3	2	2	LIHC.iCluster:3
TCGA.CC.A7IE.01	TCGA-CC-A7IE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A7IF.01	TCGA-CC-A7IF	3	4	1	LIHC.iCluster:1
TCGA.CC.A7IG.01	TCGA-CC-A7IG	3	1	3	LIHC.iCluster:1
TCGA.CC.A7IH.01	TCGA-CC-A7IH	2	5	4	LIHC.iCluster:3
TCGA.CC.A7II.01	TCGA-CC-A7II	4	1	2	LIHC.iCluster:1
TCGA.CC.A7IJ.01	TCGA-CC-A7IJ	5	1	3	LIHC.iCluster:1
TCGA.CC.A7IK.01	TCGA-CC-A7IK	1	5	2	LIHC.iCluster:3
TCGA.CC.A7IL.01	TCGA-CC-A7IL	1	4	2	LIHC.iCluster:3
TCGA.CC.A8HS.01	TCGA-CC-A8HS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A8HT.01	TCGA-CC-A8HT	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A8HU.01	TCGA-CC-A8HU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A8HV.01	TCGA-CC-A8HV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A9FS.01	TCGA-CC-A9FS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A9FU.01	TCGA-CC-A9FU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A9FV.01	TCGA-CC-A9FV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.CC.A9FW.01	TCGA-CC-A9FW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.A113.11	TCGA-DD-A113	1	1	3	LIHC.iCluster:1
TCGA.DD.A113.01	TCGA-DD-A113	1	1	3	LIHC.iCluster:1
TCGA.DD.A114.11	TCGA-DD-A114	5	1	1	LIHC.iCluster:1
TCGA.DD.A114.01	TCGA-DD-A114	5	1	1	LIHC.iCluster:1
TCGA.DD.A115.01	TCGA-DD-A115	5	4	2	LIHC.iCluster:3
